Title_URL,brand,Name_URL,Name,Description,shipsfree,product_in_stock,Discount,Price,Price1,primarybtn,Application,Brand,Category,Color,EmissionCode,GradeType,Material,MountingHardwareIncluded,ProductType,UPC,PartNumber,make,engine
PART# 31501-3,EDGE,https://www.holley.com/products/off-road/parts/31501-3,EDGE JUICE W/ ATTITUDE CTS3,2001-2002 Dodge Ram 2500/3500 - 5.9L Cummins Diesel,Free Shipping,,"MSRP $1,462.95","$1,168.95",$294.00,,Yes,No,No,No,Yes,Yes,4,17,ABS,9.75,"
		Edge
		
	",,
PART# 550-858K,HOLLEY SNIPER EFI,https://www.holley.com/products/off-road/fuel_systems/parts/550-858K,HOLLEY SNIPER EFI BBD MASTER KIT FOR 1971-1986 JEEP CJ - SHINY,Supports Up To 350 HP - 3.5 in. Handheld Monitor - Return Fuel System,Free Shipping,In Stock,"MSRP $1,856.95","$1,483.95",$373.00,ADD TO CART,No,No,"
		Holley Sniper EFI
		
	",No,Air and Fuel Delivery,No,Yes,No,Yes,No,No,,
PART# 30306,EDGE,https://www.holley.com/products/off-road/parts/30306,COMP BOX,2001-2002 Dodge Ram 2500/3500 - 5.9L Cummins Diesel,Free Shipping,,MSRP $877.95,$700.95,$177.00,,"
		Edge
		
	",Tuners and Programmers,Yes,7,Diesel,Diesel,Yes,Yes,Inline Chips and Modules,810065216984,30306,,
PART# 85400-262,EDGE,https://www.holley.com/products/off-road/parts/85400-262,EVOLUTION CTS3 WITH LOCKSMITH,"The Evolution CTS3 for GM Duramax delivers powerful tuning, a sleek touchscreen, and real-time engine monitoring. Boost towing power, throttle response, and efficiency with this premium all-in-one tuner and performance upgrade.",Free Shipping,,MSRP $956.95,$763.95,$193.00,,Yes,No,No,Yes,ABS,"
		Edge
		
	",No,No,Tuners and Programmers,No,7,,
PART# 83601-3,EDGE,https://www.holley.com/products/off-road/parts/83601-3,CS2/CTS2 JUICE TO CTS3 UPGRADE KIT,Upgrade Kit to allow CS2 and CTS2 Juice w/Attitude owners to upgrade to CTS3 in-cab monitor,Free Shipping,In Stock,MSRP $562.95,$448.95,$114.00,ADD TO CART,Yes,No,No,No,Yes,Yes,ABS,"
		Edge
		
	",No,No,Tuners and Programmers,CHEVROLET (51)DODGE (90)GMC (59)RAM (167),359/5.9L L6 (58)403/6.6L V8 (110)408/6.7L L6 (199)
PART# 33710-3,EDGE,https://www.holley.com/products/off-road/parts/33710-3,EZX + INSIGHT CTS3 KIT,2019-2024 Ram 2500/3500 Cummins 2019-2022 Ram Cab & Chassis 3500/4500/5500,Free Shipping,,"MSRP $1,462.95","$1,168.95",$294.00,,Yes,No,No,No,ABS,"
		Edge
		
	",No,No,Tuners and Programmers,Yes,No,,
PART# 30305,EDGE,https://www.holley.com/products/off-road/parts/30305,COMP BOX,1998.5-2000 Dodge Ram 2500/3500 - 5.9L Cummins Diesel,Free Shipping,In Stock,MSRP $877.95,$700.95,$177.00,ADD TO CART,"
		Edge
		
	",Tuners and Programmers,Yes,7,Diesel,Diesel,Yes,Yes,Inline Chips and Modules,810065217240,30305,,
PART# 85452-K,EDGE,https://www.holley.com/products/off-road/parts/85452-K,EVOLUTION CTS3 2019-2022 GM 1500,2019-2022 GM 1500 with 5.3L/6.2L - E90/T93 Unlocking and flashing,Free Shipping,In Stock,"MSRP $1,012.95",$808.95,$204.00,ADD TO CART,Yes,No,No,Yes,ABS,"
		Edge
		
	",No,No,Tuners and Programmers,Yes,No,,
PART# 32454,DIABLOSPORT,https://www.holley.com/products/off-road/parts/32454,DIABLOSPORT PULSAR,Fits 2019-2024 Ram Trucks - 6.4L Hemi,Free Shipping,,MSRP $843.95,$673.95,$170.00,,,,,,,,,,,,,,
PART# 22454,RANGE TECHNOLOGY,https://www.holley.com/products/off-road/parts/22454,PULSAR LT,"Unlock full control of your GM truck with the Pulsar LT! Adjust throttle response, tire size, gear ratio, and disable AFM/DFM, no tuning or tools needed. Plug-and-play power, performance, and precision for your Silverado, Sierra, or SUV.",Free Shipping,In Stock,MSRP $640.95,$499.95,$141.00,ADD TO CART,no,No,No,No,ABS,"
		Range Technology
		
	",No,No,Tuners and Programmers,No,No,,
PART# 85400-261,EDGE,https://www.holley.com/products/off-road/parts/85400-261,EVOLUTION CTS3 WITH LOCKSMITH,"The Evolution CTS3 for GM Duramax delivers powerful tuning, a sleek touchscreen, and real-time engine monitoring. Boost towing power, throttle response, and efficiency with this premium all-in-one tuner and performance upgrade.",Free Shipping,,"MSRP $1,181.95",$943.95,$238.00,,Yes,No,No,Yes,ABS,"
		Edge
		
	",No,No,Tuners and Programmers,No,7,,
PART# 85450-150,EDGE,https://www.holley.com/products/off-road/parts/85450-150,EDGE EVOLUTION CTS3,1999-2020 Ford Vehicles - Gas,Free Shipping,In Stock,MSRP $843.95,$673.95,$170.00,ADD TO CART,Yes,No,No,Yes,Yes,ABS,"
		Edge
		
	",No,No,Tuners and Programmers,Yes,,
PART# 85452-252,EDGE,https://www.holley.com/products/off-road/parts/85452-252,EDGE EVOLUTION 2017-2019 GM GAS CTS3,2017-2019 Chevrolet/GMC/Cadillac/ Gas Vehicles,Free Shipping,In Stock,MSRP $899.95,$718.95,$181.00,ADD TO CART,Yes,Yes,No,Yes,Yes,ABS,"
		Edge
		
	",D-802-10,Yes,No,Tuners and Programmers,,
PART# CSPT0001,SIMPSON MOTORCYCLE,https://www.holley.com/products/off-road/parts/CSPT0001,CARDO/SIMPSON PACKTALK EDGE COMMUNICATION SYSTEM,Pack Talk Communication Device - Simpson X Cardo,Free Shipping,In Stock,,,,ADD TO CART,"
		Simpson Motorcycle
		
	","Vehicles, Equipment, Tools, and Supplies",6,Helmet Communication Kit,Helmet Accessories,"Safety Equipment, Tools and Accessories",090127400319,CSPT0001,,,,,
